codigo_curto,municipio,uf,codigo_ibge,observacoes
PIND,Pindamonhangaba,SP,3538006,
PIND1,Pindorama,SP,3538105,
PINH,Pinhalzinho,SP,3538204,
PIQU,Piquerobi,SP,3538303,
PIQU1,Piquete,SP,3538501,
PIRA,Piracaia,SP,3538600,
PIRA1,Piracicaba,SP,3538709,
PIRA2,Piraju,SP,3538808,
PIRA3,Pirajuí,SP,3538907,
PIRA4,Pirangi,SP,3539004,
PBJ,Pirapora do Bom Jesus,SP,3539103,
PIRA5,Pirapozinho,SP,3539202,
PIRA6,Pirassununga,SP,3539301,
PIRA7,Piratininga,SP,3539400,
PITA,Pitangueiras,SP,3539509,
PLAN,Planalto,SP,3539608,
PLAT,Platina,SP,3539707,
POA,Poá,SP,3539806,
POLO,Poloni,SP,3539905,
POMP,Pompéia,SP,3540002,
PONG,Pongaí,SP,3540101,
PONT,Pontal,SP,3540200,
PONT1,Pontalinda,SP,3540259,
PGPON,Pontes Gestal,SP,3540309,
POPU,Populina,SP,3540408,
PORA,Porangaba,SP,3540507,
PFPOR,Porto Feliz,SP,3540606,
PFERR,Porto Ferreira,SP,3540705,
POTI,Potim,SP,3540754,
POTI1,Potirendaba,SP,3540804,
PRAC,Pracinha,SP,3540853,
PRAD,Pradópolis,SP,3540903,
PGPRA,Praia Grande,SP,3541000,
PRAT,Pratânia,SP,3541059,
PAPRE,Presidente Alves,SP,3541109,
PBPRE,Presidente Bernardes,SP,3541208,
PEPRE,Presidente Epitácio,SP,3541307,
PPPRE,Presidente Prudente,SP,3541406,
PVPRE,Presidente Venceslau,SP,3541505,
PROM,Promissão,SP,3541604,
QUAD,Quadra,SP,3541653,
QUAT,Quatá,SP,3541703,
QUEI,Queiroz,SP,3541802,
QUEL,Queluz,SP,3541901,
QUIN,Quintana,SP,3542008,
RAFA,Rafard,SP,3542107,
RANC,Rancharia,SP,3542206,
RSRED,Redenção da Serra,SP,3542305,
RFREG,Regente Feijó,SP,3542404,
REGI,Reginópolis,SP,3542503,
REGI1,Registro,SP,3542602,
REST,Restinga,SP,3542701,
RIBE,Ribeira,SP,3542800,
RBRIB,Ribeirão Bonito,SP,3542909,
RBRAN,Ribeirão Branco,SP,3543006,
RCRIB,Ribeirão Corrente,SP,3543105,
RSRIB,Ribeirão do Sul,SP,3543204,
RIRIB,Ribeirão dos Índios,SP,3543238,
RGRIB,Ribeirão Grande,SP,3543253,
RPRIB,Ribeirão Pires,SP,3543303,
RPRET,Ribeirão Preto,SP,3543402,
RIVE,Riversul,SP,3543501,
RIFA,Rifaina,SP,3543600,
RINC,Rincão,SP,3543709,
RINO,Rinópolis,SP,3543808,
RCRIO,Rio Claro,SP,3543907,
RPRIO,Rio das Pedras,SP,3544004,
RGS,Rio Grande da Serra,SP,3544103,
RIOL,Riolândia,SP,3544202,
ROSA,Rosana,SP,3544251,
ROSE,Roseira,SP,3544301,
RUBI,Rubiácea,SP,3544400,
RUBI1,Rubinéia,SP,3544509,
SABI,Sabino,SP,3544608,
SAGR,Sagres,SP,3544707,
SALE,Sales,SP,3544806,
SOSAL,Sales Oliveira,SP,3544905,
SALE1,Salesópolis,SP,3545001,
SALM,Salmourão,SP,3545100,
SALT,Saltinho,SP,3545159,
SALT1,Salto,SP,3545209,
SPSAL,Salto de Pirapora,SP,3545308,
SGSAL,Salto Grande,SP,3545407,
SAND,Sandovalina,SP,3545506,
SASAN,Santa Adélia,SP,3545605,
SALBE,Santa Albertina,SP,3545704,
SBDO,Santa Bárbara d'Oeste,SP,3545803,
SBSAN,Santa Branca,SP,3546009,
SCDO,Santa Clara d'Oeste,SP,3546108,
SCC,Santa Cruz da Conceição,SP,3546207,
SCE,Santa Cruz da Esperança,SP,3546256,
SCP,Santa Cruz das Palmeiras,SP,3546306,
SCRP,Santa Cruz do Rio Pardo,SP,3546405,
SESAN,Santa Ernestina,SP,3546504,
SFS,Santa Fé do Sul,SP,3546603,
SGSAN,Santa Gertrudes,SP,3546702,
SISAN,Santa Isabel,SP,3546801,
SLSAN,Santa Lúcia,SP,3546900,
SMS,Santa Maria da Serra,SP,3547007,
SMSAN,Santa Mercedes,SP,3547106,
SPP,Santana da Ponte Pensa,SP,3547205,
SPSAN,Santana de Parnaíba,SP,3547304,
SRDO,Santa Rita d'Oeste,SP,3547403,
SRPQ,Santa Rita do Passa Quatro,SP,3547502,
SRV,Santa Rosa de Viterbo,SP,3547601,
SSSAN,Santa Salete,SP,3547650,
SANAS,Santo Anastácio,SP,3547700,
SANDR,Santo André,SP,3547809,
SAA,Santo Antônio da Alegria,SP,3547908,
SAP,Santo Antônio de Posse,SP,3548005,
SAARA,Santo Antônio do Aracanguá,SP,3548054,
SAJ,Santo Antônio do Jardim,SP,3548104,
SAPIN,Santo Antônio do Pinhal,SP,3548203,
SEXPE,Santo Expedito,SP,3548302,
SAGUA,Santópolis do Aguapeí,SP,3548401,
SANT,Santos,SP,3548500,
SBS,São Bento do Sapucaí,SP,3548609,
SBC,São Bernardo do Campo,SP,3548708,
